Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0265274	69	17	26	140	50	59	35	27	37	71	70	72	52	33	71	2.15	1.104	3.589	0.000331513022656873	0.00591059752288435	0	0.0734	0.045	0.045	TRUE	0.1214
FBgn0036688	493	186	237	732	374	423	248	291	338	373	523	518	381.92	292	471	1.616	0.692	3.583	0.000339963548234115	0.00604402260303645	0.0279	0.0211	0.0239	0.0239	TRUE	0.4183
FBgn0034793	744	261	360	1170	446	604	375	408	513	597	624	740	542.72	432	654	1.518	0.602	3.576	0.000348467085486979	0.00617532896650805	0.0179	0.0186	0.0183	0.0183	TRUE	0.3034
FBgn0038261	22	15	9	68	40	39	11	23	13	35	56	48	30.96	16	46	3.027	1.598	3.573	0.000353383855687052	0.00623285149030609	0.0633	0.1146	0.0975	0.0975	TRUE	0.3938
FBgn0010786	6159	2389	2555	8325	3724	4118	3102	3734	3641	4245	5208	5047	4162.89	3492	4833	1.385	0.469	3.558	0.000373893121153415	0.00656857205150585	0.0101	0.0136	0.0123	0.0123	TRUE	0.1399
FBgn0259741	34	13	12	102	35	32	17	20	17	52	49	39	32.45	18	47	2.614	1.386	3.555	0.000377825394130533	0.00662458816047373	0	0.1099	0.0694	0.0694	TRUE	0.1417
FBgn0036764	5144	2010	2450	7892	3139	3670	2591	3141	3491	4024	4390	4498	3689.35	3074	4304	1.401	0.487	3.551	0.000383772585765126	0.00667629379181637	0.0121	0.0137	0.0132	0.0132	TRUE	0.2354
FBgn0265140	9365	3139	3034	11381	4403	4970	4717	4906	4323	5804	6158	6092	5333.18	4649	6018	1.294	0.372	3.551	0.000383700857361782	0.00667629379181637	0.0022	0.0134	0.0077	0.0077	TRUE	0.045
FBgn0036641	300	117	151	555	201	242	151	183	215	283	281	297	234.98	183	287	1.586	0.665	3.549	0.000387259694865268	0.00672382476055545	0.0117	0.0262	0.0205	0.0205	TRUE	0.3159
FBgn0003884	50776	22647	26101	77384	40342	46038	25574	35393	37191	39461	56423	56428	41745.18	32719	50771	1.552	0.634	3.513	0.000442487566583352	0.00765288690399595	0.0368	0.0129	0.0234	0.0234	TRUE	0.4654
FBgn0021795	3446	1200	1492	4675	1931	2226	1736	1875	2126	2384	2701	2728	2258.34	1912	2604	1.363	0.446	3.51	0.000447553757917893	0.00771056348505739	0.0074	0.0142	0.0111	0.0111	TRUE	0.1149
FBgn0032956	5394	1342	1413	8674	2317	2385	2717	2097	2013	4423	3241	2923	2902.42	2276	3529	1.55	0.632	3.508	0.000451565691253906	0.00774970252793553	0.0388	0.0139	0.023	0.023	TRUE	0.6028
FBgn0086357	7335	2676	3175	9958	4144	4843	3694	4182	4524	5078	5796	5936	4868.4	4133	5603	1.356	0.439	3.499	0.000466723898662013	0.00797909743835422	0.0081	0.0135	0.0111	0.0111	TRUE	0.1072
FBgn0040308	1269	375	475	1779	597	689	639	586	677	907	835	844	748.12	634	862	1.361	0.445	3.498	0.000469055857663176	0.00800360253679292	0.0016	0.0171	0.0102	0.0102	TRUE	0.0462
