"ID","RNAi_1","RNAi_3","RNAi_4","Untreated_1","Untreated_3","Untreated_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0100375",250.107199028141,134.379763367482,127.503287168267,502.773121174996,684.83038536711,691.962759046547,7.650773810998e-06,2.7127614062553,4.30012017254834e-10,6.55575257726986,5.11629463741488
"FBtr0089978",708.386642219217,645.727913162733,752.972499516466,447.890651391564,325.209155116562,367.245788824396,0.00051190153893212,-1.27775271272395,2.87714444094043e-08,0.412437462699596,3.29081356482615
"FBtr0334586",1876.43135925305,2115.85267621514,1934.57320771543,989.251802670837,950.583677516637,721.253435609472,5.85735245690593e-11,-1.66659204650484,3.29212705536529e-15,0.314996554541927,10.2322986422032
"FBtr0100457",178.093272069636,194.076705841756,185.363331011033,1280.77617511131,1346.21580297933,1204.78665673643,3.83677339031873e-105,4.01688523573146,2.15645986416295e-109,16.1883634047114,104.416033850591
"FBtr0089485",1068.98417397169,1058.87862457033,927.525395768572,534.85088332407,627.381322138914,510.391553941208,8.32181662257634e-07,-1.25435604061487,4.67728002617825e-11,0.419180630475106,6.07978185843981
"FBtr0089484",139.649745006791,121.081494661543,112.881082438419,608.316325450051,657.608309546164,627.358691146275,3.63581120145824e-50,3.37865134583893,2.04350899362536e-54,10.4010072712618,49.439398676686
"FBtr0308034",119.286183022621,117.920976764406,144.679654086208,293.435782314742,309.341081836864,275.74687154468,5.91892301463898e-09,1.73828360941897,3.32673280948684e-13,3.33637998665463,8.22775730870781
"FBtr0310647",496.610611957185,389.088539502533,303.927537115695,1179.07949117552,1544.93332239773,1156.00519723671,4.80170642379295e-11,2.46273072598274,2.69880082272535e-15,5.51259160980321,10.3186043962207
"FBtr0340190",931.650352268301,960.363492633982,1178.98511817268,494.060014566332,331.540906129995,583.162798043707,0.00897431048382339,-1.62374330402455,5.04401443560217e-07,0.324492422916208,2.04699890927602
"FBtr0075942",1285.41407246502,1279.58913315754,1304.30568389596,719.823479020317,826.338005050298,662.639554186848,1.41426513914393e-07,-1.1672628229413,7.94888230184314e-12,0.445265326711899,6.84946916361355
"FBtr0300542",145.975657064768,171.168930077281,150.755716869463,76.0500507784156,86.6111005256797,62.7315656661524,0.00593915263789904,-1.51808804228701,3.338102876517e-07,0.349148325249159,2.22627551308879
"FBtr0336697",94.9569171984953,96.7737755063696,91.8657697910382,33.0674774159397,31.4590187270796,45.5932678497994,1.76656729285502e-05,-1.96376310111661,9.92899782405025e-10,0.256358901632926,4.75286981457843
"FBtr0087621",5750.34026518715,5931.92450550642,5030.65233896579,14264.039208606,17285.1062840155,12080.9721225601,1.00051811367553e-14,1.99747277470348,5.62341565689933e-19,3.99299917724196,13.999775044361
"FBtr0087618",9241.48558852604,10688.0680533391,9423.87470281417,5783.08827286623,6215.01646689391,4277.84128141128,0.00167700681396713,-1.22734612671005,9.42562283030088e-08,0.427102389133387,2.77546517277715
"FBtr0087617",432.365644865349,517.474147303918,442.481704141072,180.112499877475,185.294898570987,172.718021098,1.93830620206659e-15,-1.98281770002455,1.08942569810397e-19,0.252995266899589,14.7125776146106
"FBtr0273224",363.829967105477,401.896119491128,354.060996104742,153.248927088787,177.642306925373,167.530846781568,2.34248995007663e-10,-1.68619390119567,1.31659731906285e-14,0.310745649561579,9.63032226367844
"FBtr0301964",923.650948446659,1326.18924918262,1455.68364264346,441.498882407479,173.491046595744,148.264468666297,0.00380605528272541,-3.28963296448857,2.13919474074045e-07,0.102263770898638,2.4195249079018
"FBtr0301450",182.630129288139,143.346930045877,153.196959583398,358.533166194362,510.934419715781,389.203256969388,1.265677482401e-07,2.01291778386063,7.11374484263151e-12,4.03597652705795,6.89767694633915
"FBtr0112532",4.64940346637347,13.429303354408,11.6913133866354,107.407355869044,76.6859610322663,119.074536839651,1.22517206310484e-15,4.92666462001227,6.88608398777452e-20,30.4140201403907,14.9118029147203
"FBtr0087431",209.270127773174,245.393079633595,192.099345190945,455.026942330527,466.909367692727,466.630740487141,1.95975362968597e-09,1.59213009843061,1.10148023251235e-13,3.01494168634139,8.7077985225176
"FBtr0303756",129.302726788328,133.646698670706,121.772793004885,286.46829802767,309.838192722106,257.228549141068,2.66722864650165e-08,1.66483531094287,1.49911682020102e-12,3.17077456995565,7.57393975309241
"FBtr0085715",446.544177450367,378.0324305785,435.213125727167,694.535750429559,689.522827007794,797.946640904092,6.36323517659238e-05,1.14377314113854,3.57645861993727e-09,2.20958149314732,4.19632202552868
